   100
       1       2    7111    3.36E-02
       2       2     848    1.27E-01
       3       2     721    6.50E-02
       4       4     708    6.50E-02
       5       2      92    3.55E-01
       5       2      53    2.23E-01
       5       4      53    2.23E-01
       5       6       8    5.38E-01
       5      -2       8    5.38E-01
  27     COBALT          Co   58.9332    297.0  8.9000E+00   9
       1       2    7711    3.23E-02
       2       2     927    1.22E-01
       3       2     796    6.21E-02
       4       4     781    6.21E-02
       5       2     101    3.39E-01
       5       2      59    2.12E-01
       5       4      59    2.12E-01
       5       7       8    4.83E-01
       5      -2       8    4.83E-01
  28     NICKEL          Ni   58.6900    311.0  8.9020E+00  10
       1       2    8332    3.11E-02
       2       2    1010    1.17E-01
       3       2     871    5.95E-02
       4       4     854    5.95E-02
       5       2     111    3.25E-01
       5       2      67    2.02E-01
       5       4      67    2.02E-01
       5       4       8    4.37E-01
       5       2       8    4.37E-01
       5      -2       8    4.37E-01
  29     COPPER          Cu   63.5460    322.0  8.9600E+00  10
       1       2    8980    3.01E-02
       2       2    1099    1.12E-01
       3       2     953    5.71E-02
       4       4     933    5.71E-02
       5       2     122    3.15E-01
       5       2      77    1.96E-01
       5       4      75    1.96E-01
       5       4       8    1.85E-01
       5       6       8    1.85E-01
       6      -1       8    1.64E+00
  30     ZINC            Zn   65.3900    330.0  7.1330E+00  10
       1       2    9661    2.90E-02
       2       2    1196    1.08E-01
       3       2    1045    5.49E-02
       4       4    1022    5.49E-02
       5       2     140    2.99E-01
       5       2      91    1.86E-01
       5       4      89    1.86E-01
       5       4       9    1.62E-01
       5       6       9    1.62E-01
       6      -2       9    1.41E+00
  31     GALLIUM         Ga   69.7230    334.0  5.9040E+00  11
       1       2   10367    2.81E-02
       2       2    1298    1.04E-01
       3       2    1143    5.28E-02
       4       4    1117    5.28E-02
       5       2     158    2.85E-01
       5       2     107    1.76E-01
       5       4     103    1.76E-01
       5       4      18    1.46E-01
       5       6      18    1.46E-01
       6      -2       6    1.18E+00
       6      -1       6    9.15E-01
  32     GERMANIUM       Ge   72.6100    350.0  5.3230E+00  11
       1       2   11104    2.72E-02
       2       2    1413    1.01E-01
       3       2    1249    5.09E-02
       4       4    1217    5.09E-02
       5       2     181    2.71E-01
       5       2     129    1.67E-01
       5       4     122    1.67E-01
       5       4      29    1.33E-01
       5       6      29    1.33E-01
